Genus,Family
Boscia,Capparaceae
Cadaba,Capparaceae
Quadrella,Capparaceae
Capparidastrum,Capparaceae
Maerua,Capparaceae
Cupressus,Cupressaceae
Juniperus,Cupressaceae
Thuja,Cupressaceae
Curatella,Dilleniaceae
Hibbertia,Dilleniaceae
Tsuga,Pinaceae
Dacrycarpus,Podocarpaceae
Podocarpus,Podocarpaceae
