species_try,species,genus,family,cotyledon,pattern_cp,source_pattern
Phyllodium pulchellum,Phyllodium pulchellum,Phyllodium,Fabaceae,Eudicot,M,"Zhang et al., 2003"
Pinellia ternata,Pinellia ternata,Pinellia,Araceae,Monocot,M,"Zhang et al., 2003"
Polygala arillata,Polygala arillata,Polygala,Polygalaceae,Eudicot,M,"Zhang et al., 2003"
Polygala sibirica,Polygala sibirica,Polygala,Polygalaceae,Eudicot,M,"Zhang et al., 2003"
Polygala tenuifolia,Polygala tenuifolia,Polygala,Polygalaceae,Eudicot,M,"Zhang et al., 2003"
Polygonatum odoratum,Polygonatum odoratum,Polygonatum,Liliaceae,Monocot,M,"Zhang et al., 2003"
Polygonum suffultum,Polygonum suffultum,Polygonum,Polygonaceae,Eudicot,M,"Zhang et al., 2003"
Portulaca grandiflora,Portulaca grandiflora,Portulaca,Portulacaceae,Eudicot,B,"Zhang et al., 2003"
Portulaca oleracea,Portulaca oleracea,Portulaca,Portulacaceae,Eudicot,M,"Zhang et al., 2003"
Potentilla discolor,Potentilla discolor,Potentilla,Rosaceae,Eudicot,M,"Zhang et al., 2003"
Primula sikkimensis,Primula sikkimensis,Primula,Primulaceae,Eudicot,M,"Zhang et al., 2003"
Punica granatum,Punica granatum,Punica,Punicaceae,Eudicot,M,"Zhang et al., 2003"
Rauvolfia verticillata,Rauvolfia verticillata,Rauvolfia,Apocynaceae,Eudicot,M,"Zhang et al., 2003"
Rehmannia glutinosa,Rehmannia glutinosa,Rehmannia,Scrophulariaceae,Eudicot,M,"Zhang et al., 2003"
Rheum officinale,Rheum officinale,Rheum,Polygonaceae,Eudicot,M,"Zhang et al., 2003"
Rhodiola rosea var. rosea,Rhodiola rosea,Rhodiola,Crassulaceae,Eudicot,M,"Zhang et al., 2003"
Ribes fasciculatum,Ribes fasciculatum,Ribes,Saxifragaceae,Eudicot,M,"Zhang et al., 2003"
Rivina humilis,Rivina humilis,Rivina,Phytolaccaceae,Eudicot,M,"Zhang et al., 2003"
Rosa xanthina,Rosa xanthina,Rosa,Rosaceae,Eudicot,M,"Zhang et al., 2003"
Sagittaria subulata,Sagittaria subulata,Sagittaria,Alismataceae,Monocot,M,"Zhang et al., 2003"
Saintpaulia ionantha,Saintpaulia ionantha,Saintpaulia,Gesneriaceae,Eudicot,M,"Zhang et al., 2003"
Salix babylonica,Salix babylonica,Salix,Salicaceae,Eudicot,M,"Zhang et al., 2003"
Salix gracilistyla,Salix gracilistyla,Salix,Salicaceae,Eudicot,M,"Zhang et al., 2003"
Salvia miltiorrhiza,Salvia miltiorrthiza,Salvia,Labiatae,Eudicot,M,"Zhang et al., 2003"
Sanguisorba officinalis,Sanguisorba officinalis,Sanguisorba,Rosaceae,Eudicot,M,"Zhang et al., 2003"
Saposhnikovia divaricata,Saposhnikovia divaricata,Saposhnikovia,Umbelliferae,Eudicot,M,"Zhang et al., 2003"
Scabiosa tschiliensis,Scabiosa tschiliensis,Scabiosa,Dipsacaceae,Eudicot,B,"Zhang et al., 2003"
Scutellaria baicalensis,Scutellaris baicalensis,Scutellaris,Labiatae,Eudicot,M,"Zhang et al., 2003"
Sedum aizoon,Sedum aizoon,Sedum,Crassulaceae,Eudicot,M,"Zhang et al., 2003"
Senna surattensis,Cassia surattensis,Cassia,Fabaceae,Eudicot,M,"Zhang et al., 2003"
Serissa japonica,Serissa japonica,Serissa,Rubiaceae,Eudicot,M,"Zhang et al., 2003"
Sinningia speciosa,Sinnigia speciosa,Sinnigia,Gesneriaceae,Eudicot,M,"Zhang et al., 2003"
Sophora flavescens,Sophora flavescens,Sophora,Fabaceae,Eudicot,M,"Zhang et al., 2003"
Sophora japonica,Sophora japonica,Sophora,Fabaceae,Eudicot,M,"Zhang et al., 2003"
Sorbaria sorbifolia,Sorbaria sorbifolia,Sorbaria,Rosaceae,Eudicot,M,"Zhang et al., 2003"
Sphallerocarpus gracilis,Sphallerocarpus gracilis,Sphallerocarpus,Umbelliferae,Eudicot,M,"Zhang et al., 2003"
Stachytarpheta jamaicensis,Stachytarpheta jamaicensis,Stachytarpheta,Verbenaceae,Eudicot,M,"Zhang et al., 2003"
Sterculia nobilis,Sterculia nobilis,Sterculia,Sterculiaceae,Eudicot,M,"Zhang et al., 2003"
Syneilesis aconitifolia,Syneilesis aconitifolia,Syneilesis,Compsitae,Eudicot,M,"Zhang et al., 2003"
Syringa oblata,Syringa oblata,Syringa,Oleaceae,Eudicot,M,"Zhang et al., 2003"
Syringa reticulata subsp. pekinensis,Syringa pekinensis,Syringa,Oleaceae,Eudicot,B,"Zhang et al., 2003"
Syzygium cumini,Syzygium cumini,Syzygium,Myrtaceae,Eudicot,M,"Zhang et al., 2003"
Tectona grandis,Tectona grandis,Tectona,Verbenaceae,Eudicot,M,"Zhang et al., 2003"
Thalictrum aquilegifolium,Thalictrum aquilegifolium,Thalictrum,Ranuncalaceae,Eudicot,M,"Zhang et al., 2003"
Thunbergia grandiflora,Thunbergia grandiflora,Thunbergia,Acanthaceae,Eudicot,M,"Zhang et al., 2003"
Tilia tuan,Tilia tuan,Tilia,Tiliaceae,Eudicot,B,"Zhang et al., 2003"
Tribulus terrestris,Tribulus terrestris,Tribulus,Zygophyllaceae,Eudicot,M,"Zhang et al., 2003"
Turnera ulmifolia,Turnera ulmifolia,Turnera,Turneraceae,Eudicot,B,"Zhang et al., 2003"
Urtica angustifolia,Urtica angustifolia,Urtica,Urticaceae,Eudicot,M,"Zhang et al., 2003"
Valeriana officinalis,Valeriana officinalis,Valeriana,Valerianaceae,Eudicot,B,"Zhang et al., 2003"
Veronica linariifolia,Veronica linariaefolia,Veronica,Labiatae,Eudicot,M,"Zhang et al., 2003"
Veronica linariifolia,Veronica linariaefolia,Veronica,Scrophulariaceae,Eudicot,M,"Zhang et al., 2003"
Viburnum sargentii,Viburnum sargentii,Viburnum,Caprifoliaceae,Eudicot,M,"Zhang et al., 2003"
Vicia gigantea,Vicia gigantea,Vicia,Fabaceae,Eudicot,B,"Zhang et al., 2003"
Vicia unijuga,Vicia unijuga,Vicia,Fabaceae,Eudicot,B,"Zhang et al., 2003"
Vitex negundo,Vitex negunda,Vitex,Verbenaceae,Eudicot,M,"Zhang et al., 2003"
Weigela florida,Weigela florida,Weigela,Caprifoliaceae,Eudicot,B,"Zhang et al., 2003"
Zantedeschia aethiopica,Zantedeschia aethiopica,Zantedeschia,Araceae,Monocot,B,"Zhang et al., 2003"
Zephyranthes minuta,Zephyranthes grandiflora,Zephyranthes,Liliaceae,Monocot,M,"Zhang et al., 2003"
Zingiber zerumbet,Zingiber zerumbet,Zingiber,Zingiberaceae,Monocot,B,"Zhang et al., 2003"
,Begonia argyrostigma,Begonia,Begoniaceae,Eudicot,M,"Zhang et al., 2003"
,Incarvillea sp.,Incarvillea,Bignoniaceae,Eudicot,B,"Zhang et al., 2003"
,Adenophora paniculata,Adenophora,Campanulaceae,Eudicot,B,"Zhang et al., 2003"
,Codonopsis lanceolata,Codonopsis,Campanulaceae,Eudicot,B,"Zhang et al., 2003"
,Codonopsis pilosula,Codonopsis,Campanulaceae,Eudicot,B,"Zhang et al., 2003"
,Atractylodes lancea,Atractylodes,Compsitae,Eudicot,M,"Zhang et al., 2003"
,Glycyrrhiza pallidiflora,Glycyrrhiza,Fabaceae,Eudicot,B,"Zhang et al., 2003"
,Vicia bungei,Vicia,Fabaceae,Eudicot,B,"Zhang et al., 2003"
,Vicia pseudorobus,Vicia,Fabaceae,Eudicot,B,"Zhang et al., 2003"
,Lysionotus paucilorus,Lysionotus,Gesneriaceae,Eudicot,M,"Zhang et al., 2003"
,Ajuga lupulina,Ajuga,Labiatae,Eudicot,M,"Zhang et al., 2003"
,Clerodendranthus spicatus,Clerodendranthus,Labiatae,Eudicot,M,"Zhang et al., 2003"
,Phlomis jeholensis,Phlomis,Labiatae,Eudicot,M,"Zhang et al., 2003"
,Malva sp.,Malva,Malvaceae,Eudicot,M,"Zhang et al., 2003"
,Osbeckia opipara,Osbeckia,Melastomataceae,Eudicot,M,"Zhang et al., 2003"
,Stephania epigaea,Stephania,Menispermaceae,Eudicot,M,"Zhang et al., 2003"
,Circaea quadrisulcata,Circaea,Onagraceae,Eudicot,M,"Zhang et al., 2003"
,Fuchsia hybrida,Fuchsia,Onagraceae,Eudicot,M,"Zhang et al., 2003"
,Dicentra spectabilis,Dicentra,Papaveraceae,Eudicot,B,"Zhang et al., 2003"
,Hepecoum leptocarpum,Hepecoum,Papaveraceae,Eudicot,M,"Zhang et al., 2003"
,Polygonum amplexicaule,Polygonum,Polygonaceae,Eudicot,M,"Zhang et al., 2003"
,Lysimachia barystachys,Lysimachia,Primulaceae,Eudicot,M,"Zhang et al., 2003"
,Primula secundiflora,Primula,Primulaceae,Eudicot,M,"Zhang et al., 2003"
,Ranunculus japonica,Ranunculus,Ranuncalaceae,Eudicot,M,"Zhang et al., 2003"
,Trollius chinensis,Trollius,Ranuncalaceae,Eudicot,M,"Zhang et al., 2003"
,Rhamnus florida,Rhamnus,Rhamnaceae,Eudicot,M,"Zhang et al., 2003"
,Spiraea fritchiana,Spiraea,Rosaceae,Eudicot,M,"Zhang et al., 2003"
,Spiraea sahcifolia,Spiraea,Rosaceae,Eudicot,M,"Zhang et al., 2003"
,Taihangia rupestris,Taihangia,Rosaceae,Eudicot,M,"Zhang et al., 2003"
,Ixora yunnanensis,Ixora,Rubiaceae,Eudicot,M,"Zhang et al., 2003"
,Mycetia gracilis,Mycetia,Rubiaceae,Eudicot,M,"Zhang et al., 2003"
,Populus tomentosa,Populus,Salicaceae,Eudicot,M,"Zhang et al., 2003"
,Saururus chinensis,Saururus,Saururaceae,Eudicot,M,"Zhang et al., 2003"
,Calceolaria crenatiflora,Calceolaria,Scrophulariaceae,Eudicot,M,"Zhang et al., 2003"
,Pedicularis likiangensis,Pedicularis,Scrophulariaceae,Eudicot,M,"Zhang et al., 2003"
,Pedicularis siphonantha,Pedicularis,Scrophulariaceae,Eudicot,M,"Zhang et al., 2003"
,Brunfelsia latifolia,Brunfelsia,Solanaceae,Eudicot,B,"Zhang et al., 2003"
,Datura sp.,Datura,Solanaceae,Eudicot,M,"Zhang et al., 2003"
,Solanum nigrum,Solanum,Solanaceae,Eudicot,M,"Zhang et al., 2003"
,Clerodendron trichotomum,Clerodendron,Verbenaceae,Eudicot,M,"Zhang et al., 2003"
,Clerodendron thomsonae,Clerodendron,Verbenaceae,Eudicot,M,"Zhang et al., 2003"
,Verbena trifolia,Verbena,Verbenaceae,Eudicot,M,"Zhang et al., 2003"
,Mesembryanthemum spectabile,Mesembryanthemum,Aizoaceae,Eudicot,B,"Zhang et al., 2003"
,Lonicera pekinensis,Lonicera,Caprifoliaceae,Eudicot,B,"Zhang et al., 2003"
,Lonicera X,Lonicera,Caprifoliaceae,Eudicot,M,"Zhang et al., 2003"
,Arenaria friderica,Arenaria,Caryophyllaceae,Eudicot,M,"Zhang et al., 2003"
,Silene fortunei,Silene,Caryophyllaceae,Eudicot,M,"Zhang et al., 2003"
,Adenocaulon himalaicum,Adenocaulon,Compsitae,Eudicot,M,"Zhang et al., 2003"
,Anaphalis sinica,Anaphalis,Compsitae,Eudicot,M,"Zhang et al., 2003"
,Aster sp.,Aster,Compsitae,Eudicot,M,"Zhang et al., 2003"
,Eupatorium japonicum,Eupatorium,Compsitae,Eudicot,M,"Zhang et al., 2003"
,Hemistepta lyrata,Hemistepta,Compsitae,Eudicot,M,"Zhang et al., 2003"
,Ligularia intermedia,Ligularia,Compsitae,Eudicot,M,"Zhang et al., 2003"
,Ligularia lapathifolia,Ligularia,Compsitae,Eudicot,M,"Zhang et al., 2003"
,Senecio rowleyanus,Senecio,Compsitae,Eudicot,M,"Zhang et al., 2003"
,Rorippa indica,Rorippa,Cruciferae,Eudicot,M,"Zhang et al., 2003"
,Arabis pendula,Arabis,Cruciferae,Eudicot,M,"Zhang et al., 2003"
,Dipsacus asperoides,Dipsacus,Dipsacaceae,Eudicot,B,"Zhang et al., 2003"
,Morina nepalensis,Morina,Dipsacaceae,Eudicot,B,"Zhang et al., 2003"
,Calliandra suriniaceae,Calliandra,Fabaceae,Eudicot,M,"Zhang et al., 2003"
,Dracocephalum rupstre,Dracocephalum,Labiatae,Eudicot,M,"Zhang et al., 2003"
,Salvia japonica,Salvia,Labiatae,Eudicot,M,"Zhang et al., 2003"
,Polygonum senticosum,Polygonum,Polygonaceae,Eudicot,M,"Zhang et al., 2003"
,Talinum patens,Talinum,Portulacaceae,Eudicot,M,"Zhang et al., 2003"
,Erysimum bungei,Erysimum,Rosaceae,Eudicot,M,"Zhang et al., 2003"
,Daphne sp.,Daphne,Thymelaeaceae,Eudicot,M,"Zhang et al., 2003"
,Trapa bispinosa,Trapa,Trapaceae,Eudicot,M,"Zhang et al., 2003"
,Pilea paperomioides,Pilea,Urticaceae,Eudicot,M,"Zhang et al., 2003"
,Micromelum paniculata,Micromelum,Rutaceae,Eudicot,M,"Zhang et al., 2003"
,Veronica didyma,Veronica,Scrophulariaceae,Eudicot,M,"Zhang et al., 2003"
,Crinum aciaticum,Crinum,Amaryllidaceae,Monocot,M,"Zhang et al., 2003"
,Crinum amabile,Crinum,Amaryllidaceae,Monocot,M,"Zhang et al., 2003"
,Lycoris aurea,Lycoris,Amaryllidaceae,Monocot,M,"Zhang et al., 2003"
,Anans sp.,Anans,Bromeliaceae,Monocot,M,"Zhang et al., 2003"
,Ottelia acuminata,Ottelia,Hydrocharitaceae,Monocot,B,"Zhang et al., 2003"
,Cucurligo capitullata,Cucurligo,Hypoxidaceae,Monocot,M,"Zhang et al., 2003"
,Allium odorum,Allium,Liliaceae,Monocot,M,"Zhang et al., 2003"
,Aloe sp.,Aloe,Liliaceae,Monocot,M,"Zhang et al., 2003"
,Diuranthera major,Diuranthera,Liliaceae,Monocot,B,"Zhang et al., 2003"
,Gagea sp.,Gagea,Liliaceae,Monocot,M,"Zhang et al., 2003"
,Heliconia aurantiaca,Heliconia,Musaceae,Monocot,M,"Zhang et al., 2003"
,Heliconia pendula,Heliconia,Musaceae,Monocot,M,"Zhang et al., 2003"
,Musa coccinea,Musa,Musaceae,Monocot,B,"Zhang et al., 2003"
,Musella lasiocarpa,Musella,Musaceae,Monocot,B,"Zhang et al., 2003"
,Liparis yunnanensis,Liparis,Orchidaceae,Monocot,M,"Zhang et al., 2003"
,Spiranthes lance,Spiranthes,Orchidaceae,Monocot,M,"Zhang et al., 2003"
,Tacca chantrieri,Tacca,Taccaceae,Monocot,M,"Zhang et al., 2003"
,Globba barthri,Globba,Zingiberaceae,Monocot,B,"Zhang et al., 2003"
,Hedychium spicatum,Hedychium,Zingiberaceae,Monocot,M,"Zhang et al., 2003"
,Costus lacerus,Costus,Zingiberaceae,Monocot,M,"Zhang et al., 2003"
,Etlingera erythrophylla,Etlingera,Zingiberaceae,Monocot,M,"Zhang et al., 2003"
,Globba racemosa,Globba,Zingiberaceae,Monocot,B,"Zhang et al., 2003"
,Zingiber purpureum,Zingiber,Zingiberaceae,Monocot,B,"Zhang et al., 2003"
,Lloydia ixiolirioides,Lloydia,Liliaceae,Monocot,B,"Zhang et al., 2003"
